,ques,answer
0,if i have paid excess tax how will it be refunded to me?,The excess tax can be claimed as refund by filing your Income-tax return. It will be refunded to you by crediting it in your bank account through ECS transfer. The department has been making efforts to settle refund claims at the earliest.
1,"if a person adopts the presumptive taxation scheme of section 44ada, then he is required to maintain books of account as per section 44aa?","In case of a person engaged in a specified profession as referred insections 44AA(1)and opts for presumptive taxation scheme of section 44ADA, the provision ofsections 44AArelating to maintenance of books of account will not apply. In other words, if a person opt for the provisions ofsections 44ADAand declares income @50% of the gross receipts, then he is not required to maintain the books of account in respect of specified profession."
2,what do we have to do if we have been allotted a duplicate tan by oversight?,"In case duplicate TAN has been allotted, an application should be made for cancellation of the TAN which has not been used. Application for cancellation of TAN is to be made in the ""Form for Changes or Correction in TAN"" which can be downloaded from the website of NSDL (https://www.tin-nsdl.com) or obtained from any other source. The application is also available at TIN Facilitation Centres."
3,the assessing officer (ao) designation and code as per 'know your pan' is different from my jurisdictional ao.,Please apply before the jurisdictional Assessing officer to initiate the process of acquiring PAN by Jurisdictional Assessing Officer.
4,can my employer consider relief u/s 89 for the purposes of calculating the tds from salary?,"Yes, if you are a Government employee or an employee of a PSU or company or co-operative society or local authority or university or institution or association or body. In such a case you need to furnish Form No. 10E to your employer."
5,the web site accepts dsc in the .pfx format. other formats like .cer are not being accepted. can usb token based dsc be used to file the return?,DSC in USB token is also accepted.
6,should registration be made in the name of the company or can a director register in his/her name and file the income tax return of the company from his/her user id?,"No. A company's PAN is required to be registered on ITD e-filing website for uploading the Income Tax Return of the company. The same applies for Firms, LLP, AOP, BOI, Local Authority, Trust, Artificial Juridical Person and Co-operative society."
7,what are the different modes of filing the return of income?,"The Return Form can be filed with the Income-tax Department in any of the following ways, -  (i) by furnishing the return in a paper form; (ii) by furnishing the return electronically under digital signature;(iii) by transmitting the data in the return electronically under electronic verification code;(iv) by transmitting the data in the return electronically and thereafter submitting the verification of the return in Return Form ITR-V;NoteWhere the return of income is filed in the manner given at (iv) without digital signature, then the taxpayer should take two printed copies of Form ITR-V. One copy of ITR-V, duly signed by the taxpayer, is to be sent (within the period specified in this regard, i.e., 120 days) by ordinary post or speed post to ""Income-tax Department - CPC, Post Bag No. 1, Electronic City Post Office, Bengalore-560100 (Karnataka). The other copy may be retained by the taxpayer for his record."
8,what is the tax of treatment of unrealised rent which is subsequently realised?,Any subsequent recovery of unrealized rent shall be deemed to be the income of taxpayer under the head Income from house property in the year in which such rent is realized (whether or not the assesse is the owner of that property in that year). It will be charged to tax after deducting a sum equal to 30% of unrealized rent.
9,"what information do i need, to register myself in the itd e-filing website?","The basic information required is: PAN, Full Name, Date of Birth/Incorporation, Communication Address, valid e-mail id, Mobile number and Digital Signature Certificate (if applicable). For persons other than Individuals, in additional to the above mentioned information, PAN details and contact details of the Principal contact are required."
10,"if assessee does not receive any intimation from cpc bangalore u/s 143 (1) or 154, then what is the procedure to contact cpc?","If assessee does not receive any intimation from CPC Bangalore u/s 143 (1) or 154, then assessee -- can call toll free number at 1800-425-2229 or paid number at 080-22546500. Once connected, Press 9 to speak to CPC executive on the IVR response. -- can request for Intimation u/s 143(1) and 154 on e-Filing application. LOGIN and GO TO 'My Account' 'Request for Intimation'."
11,"if a person adopts the presumptive taxation scheme but he opts out from the scheme in any of the subsequent five years, then what are the consequences?","If a person opts for presumptive taxation scheme then he is also require to follow the same scheme for next 5 years. If he failed to do so, then presumptive taxation scheme will not be available for him for next 5 years. [For example, an assessee claims to be taxed on presumptive basis under Section 44AD for AY 2017-18. For AY 2018-19 and 2019-20 also he offers income on basis of presumptive taxation scheme. However, for AY 2020-21, he did not opt for presumptive taxation Scheme.  In this case, he will not be eligible to claim benefit of presumptive taxation scheme for five AYs, i.e. from AY 2021-22 to 2025-26.]He is required to keep and maintain books of account and he is also liable for tax audit as per section 44AB from the AY in which he opts out from the presumptive taxation scheme. [If his total income exceeds maximum amount not chargeable to tax]"
12,from where can i get a return form?,The return form  can be downloaded from the site http://www.incometaxindia.gov.in or http://incometaxindiaefiling.gov.in
13,under what circumstances a deductor would not be deemed as an assessee-in-default even after he fails to deduct tds or after deducting the same fails to deposit it to the governments account?,"A deductor who fails to deduct the whole or any part of the tax on the sum paid to a resident or on the sum credited to the account of a resident shall not be deemed to be an assessee-in-default in respect of such tax if such resident(i)has furnished his return of income undersection 139;(ii)has taken into account such sum for computing income in such return of income; and(iii)has paid the tax due on the income declared by him in such return of income,and the deductor furnishes a certificate to this effect in Form No.26A from a chartered accountant."
14,how to compute short-term capital gain?,"Short-term capital gain arising on account of transfer of short-term capital asset is computed as follows: ParticularsRs.Full value of consideration (i.e.,Sales value of the asset)XXXXXLess:Expenditure incurred wholly and exclusively in connection with transfer of capital asset (E.g., brokerage, commission, etc.)   (XXXXX)Net Sale ConsiderationXXXXXLess:Cost of acquisition (i.e., the purchase price of the capital asset)(XXXXX)Less:Cost of improvement (i.e.,post purchase capital expenses incurred  on  addition/improvement to the capital asset) (XXXXX)Short-Term Capital GainXXXXX"
15,what is the return preparation software?,"The ITD e-filing website has provided User Friendly utilities in Excel/Java format for free download. These may be used by the individuals or organizations to file their returns electronically. These utilities are called the 'Return Preparation Software'. The input to the ""Return Preparation Software"" will be the actual data that taxpayer need to fill while preparing return of income."
16,who cannot use itr  1 (sahaj)?,"Return Form ITR - 1 (SAHAJ) cannot be used by an individual:     Whose total income for the year includes income from more than one house property.     Whose total income for the year includes income from winnings from lottery or income from race horses.     Whose total income for the year includes income chargeable to tax under the head ""Capital Gains"".     Whose total income for the year includes agricultural income of more than Rs. 5,000.     Whose total income for the year includes income from business or profession.     Whose total income for the year includes loss under the head ""Income from other sources"".     Who has claimed relief undersection 90and/or91.     Any Resident having any assets (including financial interest in any entity) located outside India or signing authority in any account located outside India.     Any resident having income from any source outside India."
17,"in case, taxpayer has entered the wrong email-id during registration and taxpayer is not able to activate the user id, what is to be done by taxpayer to activate the account?","Click on the 'Resend Activation Link' found on the Login page of e-filing website (click 'Login Here' button under Registered User section on the right hand side of the home page).On the page, select the User type and enter details like PAN, Date of Birth/ Incorporation, Password and new e-mail ID.Note:In addition, a Chartered Accountant needs to enter the Membership Number and Enrollment Date.The Activation link is sent to the new e-mail ID. Click on the Activation link. If you do not click the activation link, the registration process is incomplete."
18,where do i save the downloaded excel/java utility? can i delete them later?,"You can download the Excel/Java utility on to your local computer/system. Once you fill the Excel/Java utility and upload the XML file on the web-site, an Acknowledgment of the submission is generated. After receiving this intimation, the file can be saved. It is recommended that the XML file be retained for your records. The e-Filed XML file is also available post LOGIN in 'My Account' 'My Returns/Forms'."
19,"if any undisclosed income [in the form of investment in capital asset] is declared under income declaration scheme, 2016, then what should be the cost of acquisition of such capital asset?","The fair market value of the asset as on 1st June, 2016 [which has been taken into account for the purpose of said declaration Scheme, 2016] shall be deemed as cost of acquisition of the asset. [This provision is applicable w.e.f. 1-4-2017]"
20,how to determine the residential status of a company?,"With effect from Assessment Year 2017-18, a company is said to be resident in India in any previous year, if:(i) it is an Indian company; or(ii) its place of effective management, at any time in that year, is in India.For this purpose, the place of effective management means a place where key management and commercial decisions that are necessary for the conduct of the business of an entity as a whole are, in substance made."
21,"error code 38:""tax determined as payable in the return of income filed has not been paid""","Description:Pay the taxes and fill the details of the pre-paid taxes in schedule IT, TDS, TCS as applicable."
22,can a chartered accountant (ca) file income tax return on behalf of the company?,"No. The person authorized by the company to file the Income Tax Return, can e-File the Income Tax Return of the company."
23,what are the provisions framed under the income-tax law in relation to carry forward and set off of house property loss?,"If loss under the head ""Income from house property"" cannot be fully adjusted in the year in which such loss is incurred, then unadjusted loss can be carried forward to next year.In the subsequent years(s) such loss can be adjusted only against income chargeable to tax under the head ""Income from house property"".Such loss can be carried forward for eight years immediately succeeding the year in which the loss is incurred.Loss under the head ""Income from house property"" can be carried forward even if the return of income/loss of the year in which loss is incurred is not furnished on or before the due date of furnishing the return, as prescribed undersection 139(1)."
24,"in case the assessee desires to convey something by the way of separate note which may be essential, is a separate space provided for that?","No annexure/document can be enclosed with the e-Filed return as clarified by Circular No. 9 dated 10th October, 2006 of the Board."
25,my employer reimburses to me all my expenses on grocery and childrens education. would these be considered as my income?,"Yes, these are in the nature of perquisites and should be valued as per the rules prescribed in this behalf."
26,which incomes are charged to tax in india in the hands of a taxpayer?,"The following chart highlights the tax incidence in case of different persons: Nature of incomeResidential statusROR (*)RNOR (*)NR (*)Income which accrues or arises in IndiaTaxedTaxedTaxedIncome which is deemed to accrue or arise in IndiaTaxedTaxedTaxedIncome which is received in IndiaTaxedTaxedTaxedIncome which is deemed to be received in IndiaTaxedTaxedTaxedIncome accruing outside India from a business controlled from India or from a profession set up in IndiaTaxedTaxedNot taxedIncome other than above (i.e.,income which has no relation with India)TaxedNot taxedNot taxed   (*)  ROR means resident and ordinarily resident.        RNOR means resident but not ordinarily resident.        NR means non-resident."
27,what is the meaning of the term long-term capital asset?,"Any capital asset held by a person for a period of more than 36 months immediately preceding the date of its transfer will be treated as long-term capital asset.However, in respect of certain assets like shares (equity or preference) which are listed in a recognised stock exchange in India, units of equity oriented mutual funds, listed securities like debentures and Government securities, Units of UTI and Zero Coupon Bonds, the period of holding to be considered is 12 months instead of 36 months.In case of unlisted shares in a company, the period of holding to be considered is 24 months instead of 36 months.IllustrationMr. Kumar is a salaried employee. On 8thApril, 2009, he purchased a piece of land and sold the same on 29th June, 2016. In this case, land is a capital asset for Mr. Kumar. He purchased the land on 8thApril, 2009 and sold it on 29thJune, 2016,i.e.,after holding for a period of more than 36 months. Hence, the land will be a long-term capital asset.IllustrationMr. Raj is a salaried employee. On 8thApril, 2015 he purchased shares of SBI Ltd. (listed in BSE) and sold the same on 29thJune, 2016. In this case, shares are capital assets for Mr. Raj. He purchased shares on 8thApril, 2015 and sold them on 29th June, 2016,i.e.,after holding them for a period of more than 12 months. Hence, shares are long-term capital assets."
28,can we quote permanent account number (pan) in place of tan?,"No. PAN should never be quoted in the field where TAN is required to be quoted. The purposes for which PAN and TAN are allotted are different. TAN is a unique identification number which is allotted to persons who are required to deduct tax at source or collect tax at source.PAN is a unique identification number issued to keep a linking of the transactions carried by a person like payment of tax, TDS/TCS credit, return of income, return of wealth, correspondence with the Income Tax Department or correspondence by the Income Tax Department, investments made by a person, loan taken by a person, etc."
29,"what is to be done if taxpayer gets null error, while uploading the xml file?","This particular problem happens when -- special characters like & < > # are entered in Income Tax Return -- there is slow internet connection or network congestion, as the XML file is not read completely and henceforth it throws exception stating to upload proper XML. Trying after sometime may resolve this problem. Kindly follow the following steps: Set the Internet Explorer settings to Low. Go to Control Panel Java General Settings and uncheck the 'Keep Temporary Files on my computer'. Click the 'Delete Files' button and click OK. Close your existing browser and open a new browser and upload your xml file again. If the problem persists, kindly contact the call center at 080-22546500."
30,"as per the income-tax law, gain arising on transfer of capital asset is charged to tax under the head capital gains. what constitutes transfer as per income-tax law?","Generally, transfer means sale, however, for the purpose of Income-tax Law ""Transfer, in relation to a capital asset, includes:i.Sale, exchange or relinquishment of the asset;ii.Extinguishment of any rights in relation to a capital asset;iii.Compulsory acquisition of an asset;iv.Conversion of capital asset into stock-in-trade;v.Maturity or redemption of a zero coupon bond;vi.Allowing possession of immovable properties to the buyer in part performance of the contract;vii.Any transaction which has the effect of transferring an (or enabling the enjoyment of) immovable property; orviii.Disposing of or parting with an asset or any interest therein or creating any interest in any asset in any manner whatsoever."
31,how to compute income from a property which is let out throughout the year?,"Income chargeable to tax under the head ""Income from house property"" in the case of a let-out property is computed in the following manner: ParticularsAmountGross annual valueXXXXLess:-Municipal taxes paid during the yearXXXXNet Annual Value (NAV)XXXXLess:-Deduction undersection 24 Deduction undersection 24(a)) at 30% of NAVDeduction undersection 24(b)) on account of interest on borrowed capital(XXXX) (XXXX)Income from house propertyXXXX"
